,accruedToTreasury,availableLiquidity,lifetimeFlashLoans,lifetimeLiquidity,lifetimeReserveFactorAccrued,totalLiquidityAsCollateral,totalScaledVariableDebt,lifetimeRepayments,variableBorrowRate
0,4.70E+19,1.21E+23,1.62E+23,2.67E+24,6.30E+20,1.59E+24,2.88E+23,9.43E+23,3.00E+25
1,4.35E+19,1.21E+23,1.62E+23,2.66E+24,6.30E+20,1.59E+24,2.87E+23,9.39E+23,2.99E+25
2,3.99E+19,1.21E+23,1.62E+23,2.66E+24,6.30E+20,1.59E+24,2.87E+23,9.36E+23,2.99E+25
3,3.61E+19,1.08E+23,1.61E+23,2.65E+24,6.30E+20,1.59E+24,2.91E+23,9.21E+23,3.10E+25
4,3.22E+19,1.05E+23,1.61E+23,2.64E+24,6.30E+20,1.59E+24,2.98E+23,9.10E+23,3.15E+25
5,2.83E+19,1.04E+23,1.60E+23,2.62E+24,6.30E+20,1.59E+24,2.99E+23,8.99E+23,3.16E+25
6,2.45E+19,1.20E+23,1.60E+23,2.59E+24,6.30E+20,1.58E+24,2.98E+23,8.93E+23,3.03E+25
7,2.07E+19,1.14E+23,1.60E+23,2.57E+24,6.30E+20,1.57E+24,3.04E+23,8.82E+23,3.09E+25
8,1.68E+19,1.15E+23,1.60E+23,2.56E+24,6.30E+20,1.57E+24,3.00E+23,8.78E+23,3.07E+25
9,1.28E+19,8.35E+22,1.60E+23,2.53E+24,6.30E+20,1.56E+24,3.05E+23,8.67E+23,3.33E+25
10,8.79E+18,1.04E+23,1.60E+23,2.47E+24,6.30E+20,1.52E+24,3.02E+23,8.52E+23,3.16E+25
11,4.50E+18,8.63E+22,1.60E+23,2.42E+24,6.30E+20,1.49E+24,3.09E+23,8.40E+23,3.32E+25
12,2.39E+17,9.03E+22,1.60E+23,2.39E+24,6.30E+20,1.46E+24,3.03E+23,8.37E+23,3.27E+25
13,2.31E+19,1.04E+23,1.57E+23,2.36E+24,6.03E+20,1.43E+24,2.82E+23,8.32E+23,3.10E+25
14,1.93E+19,1.06E+23,1.57E+23,2.32E+24,6.03E+20,1.39E+24,2.84E+23,8.19E+23,3.10E+25
15,1.57E+19,1.05E+23,1.57E+23,2.32E+24,6.03E+20,1.39E+24,2.84E+23,8.19E+23,3.11E+25
16,1.20E+19,1.05E+23,1.54E+23,2.31E+24,6.03E+20,1.39E+24,2.84E+23,8.18E+23,3.11E+25
17,8.28E+18,7.99E+22,1.54E+23,2.30E+24,6.03E+20,1.38E+24,3.07E+23,7.94E+23,3.37E+25
18,4.11E+18,9.37E+22,1.54E+23,2.29E+24,6.03E+20,1.38E+24,2.94E+23,7.87E+23,3.22E+25
19,2.03E+17,9.97E+22,1.53E+23,2.27E+24,6.03E+20,1.37E+24,2.99E+23,7.80E+23,3.19E+25
20,2.33E+19,9.85E+22,1.51E+23,2.27E+24,5.75E+20,1.37E+24,3.02E+23,7.76E+23,3.20E+25
21,1.93E+19,9.92E+22,1.51E+23,2.23E+24,5.75E+20,1.34E+24,3.00E+23,7.75E+23,3.19E+25
22,1.54E+19,1.14E+23,1.41E+23,2.21E+24,5.75E+20,1.33E+24,2.96E+23,7.74E+23,3.07E+25
23,1.16E+19,9.78E+22,1.41E+23,2.19E+24,5.75E+20,1.32E+24,2.95E+23,7.74E+23,3.19E+25
24,7.74E+18,1.04E+23,1.41E+23,2.18E+24,5.75E+20,1.31E+24,2.90E+23,7.74E+23,3.13E+25
25,3.91E+18,1.05E+23,1.41E+23,2.16E+24,5.75E+20,1.29E+24,2.89E+23,7.73E+23,3.12E+25
26,1.66E+17,1.00E+23,1.41E+23,2.15E+24,5.75E+20,1.28E+24,2.87E+23,7.73E+23,3.15E+25
27,2.12E+19,9.59E+22,1.28E+23,2.12E+24,5.50E+20,1.24E+24,2.86E+23,7.70E+23,3.18E+25
28,1.74E+19,8.02E+22,1.24E+23,2.07E+24,5.50E+20,1.19E+24,2.88E+23,7.65E+23,3.32E+25
29,1.34E+19,7.45E+22,1.24E+23,2.05E+24,5.50E+20,1.19E+24,2.87E+23,7.64E+23,3.37E+25
30,9.33E+18,7.40E+22,1.24E+23,2.04E+24,5.50E+20,1.19E+24,2.87E+23,7.64E+23,3.37E+25
